cnpj,razao_social,nome_fantasia,segmento,sub_segmento,endereco,cidade,ring,telefone,whatsapp,email,instagram,website,google_maps_url,google_rating,google_reviews,porte,foco_felino,potencial_b2b,notas,lat,lng,completeness_score,bairro,fonte_enriquecimento,horario,facebook,fonte_descoberta,data_discovery,marketplace_ifood,marketplace_rappi,marketplace_ml,marketplace_shopee,rating_marketplace,digital_maturity,batch_source,categorias_google,cnae_principal,cnae_descricao,uf,cep,situacao_cadastral,data_abertura,natureza_juridica,capital_social,telefone_receita,email_receita,ja_no_crm
,Pet Patas e Pelos,Pet Patas e Pelos,pet_shop,local,"Av. Presidente Castelo Branco, 1510 - Jardim Zaira",Mauá,1_abc,(11) 98717-3735,,,,,,,,me,false,medio,Pet shop local.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
21.082.319/0001-83,Vet Don Ruiz Petshop LTDA,Don Ruiz Petshop,banho_tosa,pet_shop,"R. Rafael Correa Sampaio, 705 - Santa Paula",São Caetano do Sul,1_abc,,,,,,,,,me,false,medio,Receita Federal. Banho e tosa + pet shop. Simples Nacional. Fundada 2014.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
33.523.239/0001-03,R&M Pet Shop e Estetica Animal LTDA,Mundi Pet Shop,banho_tosa,pet_shop,"R. Vinte e Oito de Julho, 199 - Fundacao",São Caetano do Sul,1_abc,(11) 97648-8744,,,@mundi.pet,,,,,me,false,medio,Receita Federal. Banho e tosa + pet shop. Simples Nacional. Fundada 2019.,,,4,Fundação,serper:facebook.com/MundiPet+cnpj.biz+instagram.com/mundi.pet,,,,,,,,,,,,,,,,,,,,,,,
41.775.117/0001-24,Acf Pet Shop Veterinario e Comercio LTDA,ACF Pet Shop Veterinario,clinica_vet,clinica_pet,"R. Sao Francisco de Assis, 28 - Santa Maria",São Caetano do Sul,1_abc,,,,,,,,,me,false,alto,Receita Federal. Vet + pet shop. Capital R$50k. Simples. Fundada 2021.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
53.031.350/0001-81,Tia Su Pet Shop LTDA,Tia Su Pet Shop,banho_tosa,pet_shop,"R. Floriano Peixoto, 439 - Santa Paula",São Caetano do Sul,1_abc,,,,,,,,,me,false,medio,Receita Federal. Banho e tosa + pet shop. Simples. Fundada nov/2023.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
35.491.209/0001-80,Alex Caetano Martins Pet Shop,My Pet Style,banho_tosa,grooming,"R. Wenceslau Bras, 359 - Santa Paula",São Caetano do Sul,1_abc,(11) 2311-0454,,,@mypetstyle_,https://mypetstyle.com.br,,,,me,false,medio,Receita Federal. Estetica animal. Fundada 2019.,,,5,,serper:mypetstyle.com.br+instagram.com/mypetstyle_,,,,,,,,,,,,,,,,,,,,,,,
65.800.241/0001-60,Hospeda Pet LTDA,Hospeda Pet,hotel_pet,hospedagem,"R. Manoel Augusto Ferreirinha, 754 - Nova Gerty",São Caetano do Sul,1_abc,,,,,,,,,me,false,medio,Receita Federal. Hotel pet + pet shop. Capital R$30k. NOVA mar/2026.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
47.348.535/0001-11,Sao Bernardo Pet Center LTDA,Sao Bernardo Pet Center,pet_shop,pet_center,"Av. Luiz Pequini, 1050 - Santa Terezinha",São Bernardo do Campo,1_abc,,,,,,,,,me,false,alto,Receita Federal. Pet shop. Capital R$150k. Simples. Fundada 2022.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
54.311.567/0001-08,Pet Shop Instinto-Animal LTDA,Instinto Animal,banho_tosa,pet_shop,"R. Aluisio de Azevedo, 55 - Ferrazopolis",São Bernardo do Campo,1_abc,,,,,,,,,epp,false,alto,Receita Federal. Banho e tosa + pet shop. EPP Capital R$200k. Fundada 2024.,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
08.911.762/0001-51,Savet Pet Shop LTDA,Savet Pet Shop,clinica_vet,clinica_pet,"R. Rio, 44 - Rudge Ramos",São Bernardo do Campo,1_abc,,,,,,,,,me,false,alto,Receita Federal. Vet + pet shop. Rudge Ramos. Fundada 2007 (18 anos!).,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
40.835.319/0001-51,Animal Rei Clinica Veterinaria e Pet Shop LTDA,Animal Rei,clinica_vet,clinica_pet,"Av. Valentim Magalhaes, 2541 - Maracana",Santo André,1_abc,(11) 4316-1688,,,@animal_rei,https://clinica-veterinariopetshop-animal-rei.negocio.site,,,,me,false,medio,Receita Federal. Vet + pet shop. Simples. Fundada 2021.,,,5,Condomínio Maracanã,Facebook + Instagram @animal_rei,,,,,,,,,,,,,,,,,,,,,,,
40.956.796/0001-75,Clinica e Veterinaria e Pet Shop Clube do Pelo LTDA,Clube do Pelo,clinica_vet,clinica_pet,"Av. Lino Jardim, 680 - Vila Bastos",Santo André,1_abc,(11) 4427-3684,(11) 93284-8102,,@clubedopelo,https://clube-do-pelo-creche.lovable.app/,,,,me,false,alto,Receita Federal. Vet + pet shop. Capital R$150k. Vila Bastos. Fundada 2021.,,,5,Vila Bastos,Facebook + Instagram @clubedopelo,,,,,,,,,,,,,,,,,,,,,,,
60.828.888/0001-87,Clinica Veterinaria Pet Life Santo Andre LTDA,Pet Life Santo Andre,clinica_vet,clinica,"Av. Dom Pedro II, 2211 - Campestre",Santo André,1_abc,(11) 98083-7764,(11) 98083-7764,,@petlifeabc,https://rede.petlife.com.br/,,5,,me,false,alto,Receita Federal. Clinica vet. Capital R$50k. Campestre. NOVA mai/2025.,,,5,Campestre,Instagram @petlifeabc + petlife.com.br,"Seg-Sex 10h-18h, Sáb 9h-16h",,,,,,,,,,,,,,,,,,,,,,
,,Petstar Estrela,banho_tosa,especializado,,São Caetano do Sul,,,,,@petstar114,,,,,mei,,,Banho & Tosa em SCS. Especialistas em cuidado e acabamento. Atendimento personalizado. Bairro Barcelona. Agendamentos via WhatsApp.,,,1,Barcelona,serper:instagram.com/pettstar,,,firecrawl:instagram:pet shop são caetano banho tosa,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Petland São Caetano,pet_shop,franquia,,São Caetano do Sul,,,(11) 97645-2011,,@petland.saocaetano,,,,,medio,,,Franquia Petland. Maior rede de franquias de pet shop do Brasil. Banho e tosa disponível. Agendar pelo WhatsApp.,,,2,,,,,firecrawl:instagram:pet shop são caetano banho tosa,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Tosa & Charme,banho_tosa,grooming,,São Caetano do Sul,,(11) 99523-0487,(11) 97176-6029,,@banhotosa.charme,,,,,mei,,,Groomer profissional em SCS. Bio: Transforme o visual do seu melhor amigo com carinho e profissionalismo. 2 números de contato.,,,2,,,,,firecrawl:instagram:pet shop são caetano banho tosa,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Pet Shop Amigo Fiel,pet_shop,loja_servico,"Rua Tocantins, 606",São Caetano do Sul,,,,,@amigofielpetshop_,,,,,mei,,,Pet Shop + Curso de Banho e Tosa Profissional. 1.836 curtidas no Facebook. Também oferece formação para groomers.,,,2,,serper:facebook.com/amigofieldeverdade+instagram.com/amigofielpetshop_,,facebook.com/amigofieldeverdade,firecrawl:instagram:pet shop são caetano banho tosa + firecrawl:facebook:pet shop são caetano,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Family PetLimp,pet_shop,loja_servico,"Av. Maria Servidei Demarchi, 1548",São Bernardo do Campo,,(11) 4129-3133,,,@family_petlimp,,,,,epp,,,CNPJ 37.579.593/0001-00. Pet Shop com banho & tosa a partir de R$40. Produtos essenciais + cuidado profissional. Confirmado via cnpj.biz.,,,3,Demarchi,,,,firecrawl:instagram:pet shop são bernardo banho tosa + serper:cnpj.biz,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Swiss Pet,banho_tosa,loja_servico,"Av. Maria Servidei Demarchi, 2297",São Bernardo do Campo,,,(11) 99107-9197,,,,,,,mei,,,Banho e tosa + DayUse. CEP 09820-000. Posts frequentes no Instagram indicando atividade. Telefone/WhatsApp confirmado em múltiplos posts.,,,3,Jardim Nossa Sra. de Fátima,,,,firecrawl:instagram:pet shop são bernardo banho tosa,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Cão Barão Pet Shop,pet_shop,centro_estetica,"Av. Barão de Mauá, 317",São Bernardo do Campo,,,,,@petcaobarao,,,,,epp,,,Um novo conceito em cuidados pet. Centro de Estética + Loja + Ozônio + Veterinário. 9.2K seguidores Instagram. Alto engajamento.,,,2,,,,,firecrawl:instagram:pet shop são bernardo banho tosa,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Cuidado & Cia Pet Shop,pet_shop,loja_servico,"R. dos Vianas, 242",São Bernardo do Campo,,,(11) 99592-5994,,@petshopcuidado.cia,https://cuidadoecia.com.br/,,,,epp,,,"CNPJ 57.453.787/0001-64. Pet Shop + Banho & Tosa + Veterinário. Rações, petiscos, acessórios. Banho de ozônio. CEP 09760-000. Website ativo.",,,4,Baeta Neves,,,facebook.com/61566333387656,firecrawl:instagram:pet shop são bernardo + serper:cuidado cia são bernardo,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Love For Pet,banho_tosa,estetica_canina,"Rua Espírito Santo, 279",Santo André,,,(11) 98643-0246,,@loveforpet_banhoetosa,,,,,mei,,,Salão de estética canina. Especialista em tosa bebê e Shih Tzu. Tratamento especial para idosos e filhotes. Cuida de animais resgatados.,,,3,Cidade São Jorge,,,facebook.com/61559725864655,firecrawl:instagram:pet shop santo andré banho tosa + serper:love for pet santo andré,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Trakinagem Pet Shop,pet_shop,loja_servico,,São Bernardo do Campo,,,,,,,,,,mei,,,"Pet Shop + Banho e Tosa + Consultório Veterinário + Taxi Dog. 543 curtidas, 58 check-ins. Negócio local estabelecido.",,,1,,,,facebook.com/trakinagempetshop,firecrawl:facebook:pet shop são bernardo santo andré,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Pet Shop & Clínica Kakazu,clinica_vet,pet_shop_vet,"R. Fenícia, 491",Santo André,,,(11) 99784-5934,,,,,,,epp,,,"CNPJ 07.608.773/0001-02 (Kunikosita LTDA). Pet Shop + Clínica Veterinária. 467 curtidas, 91 check-ins no Facebook.",,,3,Parque Novo Oratório,,,facebook.com/Petshopkakazu,firecrawl:facebook:pet shop santo andré + serper:kakazu santo andré,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Pet Shop Família Zoo,pet_shop,loja_servico,,São Bernardo do Campo,,,,,,,,,,mei,,,"751 curtidas, 137 check-ins. Os melhores profissionais para atender e acolher seu pet com carinho.",,,1,,,,facebook.com/petshopfamiliazoo,firecrawl:facebook:pet shop são bernardo santo andré,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Vet Help Clínica Veterinária e Pet Shop,clinica_vet,pet_shop_vet,"Avenida Tijucussu, 626 - Olímpico",São Caetano do Sul,,(11) 4238-4934,(11) 99571-5777,,,,,4.9,33,mei,,,"Atendimento veterinário + Pet Shop + serviços de estética. 322 curtidas, 76 check-ins no Facebook.",,,3,Olímpico,serper+fetch:facebook.com/vethelpscs+petlove.com.br,Seg-Sex 8h-18h,facebook.com/vethelpscs,firecrawl:facebook:pet shop são caetano são bernardo,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Pimenta Dogs,clinica_vet,pet_shop_vet,"R. García Lorca, 301",São Bernardo do Campo,,(11) 4177-1306,,,,,,,,epp,,,"Clínica Veterinária Pimenta Dogs III. Vet + Pet Shop. CEP 09695-000. Múltiplas unidades (I, II, III). Confirmado via topabiz e guiafacil.",,,3,Paulicéia,,,facebook.com/PimentaDogs,firecrawl:facebook:pet shop são bernardo + serper:pimenta dogs são bernardo,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Petutinho Pet Shop,pet_shop,estetica_moda,,São Bernardo do Campo,,,,,,,,,,mei,,,"Estética, Acessórios, Moda Pet. 26 curtidas, 25 check-ins. Negócio pequeno/informal.",,,1,,,,facebook.com/100078907953455,firecrawl:facebook:pet shop são bernardo santo andré,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Clínica Veterinária Santa Marta,clinica_vet,estetica_vet,"Rua Santa Marta, 289 - Taboão",Diadema,,(11) 4072-1260,,contato@clinicasantamarta.com.br,@clinicaveterinariasantamarta,http://www.clinicasantamarta.com.br,,,,epp,,,"Clínica Veterinária + centro de estética e embelezamento pet. 908 curtidas, 28 check-ins.",,,4,Taboão,serper+fetch:clinicasantamarta.com.br+instagram.com,"Seg-Sex 10h-17h, Sab 10h-16h",facebook.com/clinicasantamartaoficial,firecrawl:facebook:banho tosa clínica veterinária diadema mauá,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Vip Cães Banho e Tosa,banho_tosa,especializado,"Rua Leonel Lima e Silva, 344",Mauá,,(11) 4578-1040,(11) 96628-9068,,,,,,,mei,,,"686 curtidas, 10 check-ins. Melhor lugar para garantir cuidados com seu pet. CEP 09341-135.",,,3,,Facebook,,facebook.com/100049992861037,firecrawl:facebook:banho tosa clínica veterinária diadema mauá,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Banho e Tosa Love Pet,banho_tosa,estetica_animal,"Rua Chico Mendes, 70",Mauá,,,(11) 98458-1339,,,,,,,mei,,,"Equipe especializada em estética animal. 703 curtidas, 90 check-ins. 2 páginas no Facebook.",,,3,Jardim Zaíra,,,facebook.com/banhoetosalovepetmaua,firecrawl:facebook:banho tosa clínica veterinária diadema mauá,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Clínica Veterinária Ribeirão Pires,clinica_vet,clinica_banho,,Ribeirão Pires,,,,,,,,,,epp,,,Clínica veterinária com banho e tosa. Atendimento com carinho. Página ativa no Facebook.,,,1,,,,facebook.com/veterinariaribeiraopires,firecrawl:facebook:banho tosa clínica veterinária diadema mauá ribeirão pires,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Med Pet Diadema,clinica_vet,completa,"Avenida Alda, 599 - Centro",Diadema,,(11) 4043-1242,,,@medpetdiadema,,,,,epp,,,"Clínica Vet + Banho e Tosa + Exames + Acupuntura + Cirurgias + Pet Shop + Táxi Dog. 1678 curtidas, 357 check-ins. Serviço completo.",,,3,Centro,serper:petshoppertodemim.com+apontador.com.br+instagram.com/medpetdiadema,,facebook.com/medpetdiademabr,firecrawl:facebook:banho tosa clínica veterinária diadema mauá,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Banho e Tosa Vila Aurora,banho_tosa,especializado,,Ribeirão Pires,,,,,,,,,,mei,,,"Higiene e Bem-Estar Animal para cães e gatos. 287 curtidas, 75 check-ins. Rua Victório... (endereço parcial no Facebook).",,,1,Vila Aurora,,,facebook.com/banhoetosavilaaurora,firecrawl:facebook:banho tosa clínica veterinária diadema mauá ribeirão pires,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Clínica Veterinária Paraíso,clinica_vet,clinica_banho,"Rua Porto Feliz, 275 - Jardim Haydee, Mauá",Mauá,,(11) 4513-1198,(11) 92288-4405,,@paraiso.vet,https://www.clinicaveterinariaparaiso.com.br/,,,,epp,,,Clínica Veterinária Paraíso - Cirurgias + Banho e Tosa. 554 check-ins no Facebook. Negócio estabelecido.,,,4,Jardim Haydee,clinicaveterinariaparaiso.com.br + Petlove,Seg-Sex 9h-0h45,facebook.com/paraisoclinicaveterinaria,firecrawl:facebook:banho tosa clínica veterinária diadema mauá,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Mimos Pet Clínica Veterinária,clinica_vet,clinica_banho_petshop,"Rua Paes Leme, 432 - Canhema",Diadema,,,,,@mimosclinicaveterinaria,,,,,mei,,,"Clínica veterinária + banho e tosa + pet shop. 543 curtidas, 76 check-ins.",,,2,Canhema,serper:facebook.com/mimospetvet+instagram.com/mimosclinicaveterinaria,,facebook.com/mimospetvet,firecrawl:facebook:banho tosa clínica veterinária diadema mauá,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Pet Móvel São Bernardo,banho_tosa,domicilio,,São Bernardo do Campo,,,,,@petmovelsaobernardo,,,,,mei,,,"Banho e Tosa à Domicílio. Conforto e qualidade para você e seu pet. 2.646 seguidores, 578 seguindo. Pet móvel (van/trailer).",,,1,,,,,serper:banho tosa domicílio são bernardo são caetano santo andré,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Anne Pets,banho_tosa,domicilio,,São Caetano do Sul,,,,,@anne_pets_tosadora,,,,,mei,,,"Tosadora. Banho e tosa a domicílio: conforto pra você, tranquilidade pro seu pet. 688 curtidas, 8 falando sobre. Profissional autônoma.",,,1,,serper+fetch:instagram.com/anne_pets_tosadora+facebook.com/annepetsbanhotosa,,facebook.com/annepetsbanhotosa,serper:banho tosa domicílio são caetano são bernardo,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Pet Móvel Alend' Alegria,banho_tosa,domicilio,,São Caetano do Sul,,,(11) 98144-3652,,@petmovel_alegria,,,,,mei,,,Pet Móvel - Banho e tosa a domicílio. 657 curtidas. Trazendo alegria por onde passa. Van equipada.,,,2,,serper+fetch:facebook.com/petalendalegria+instagram.com/petmovel_alegria,,facebook.com/petalendalegria,serper:banho tosa domicílio são caetano são bernardo,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Luccas Dener Adestramento,adestramento,escola,"Rua Coronel PM Celestino Henrique Fernandes, 255 - Santa Maria",Santo André,,(11) 96837-9972,(11) 96837-9972,,@luccasdener,,,,,mei,,,"Escola de Adestramento e Reabilitação. 1.890 seguidores. Adestrador comportamental. Atende região ABC, base em Campestre.",,,3,Campestre,Instagram @luccasdener,8h-17h,,serper:adestrador adestramento são caetano são bernardo santo andré ABC site:instagram.com,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Adestramento de A a Z,adestramento,comportamental,,Santo André,,,(11) 96210-2908,,@adestramentodeaaz,https://adestradordecachorros.com.br/,,,,mei,,,André Dias - Adestrador. Atende Santo André e São Bernardo do Campo. Perfil focado em treinamento comportamental.,,,3,,adestradordecachorros.com.br + Instagram,,,serper:adestrador adestramento santo andré são bernardo site:instagram.com,2026-04-03,,,,,,,,,,,,,,,,,,,
,,HeyCão - Angélica Adestramento,adestramento,hotel_escola,,Santo André,,,(11) 96942-3163,,@angelica_adestramento,,,,,mei,,,ABC SP. Hotel/Escola pet. Treino intensivo. Mentoria online. Consultoria comportamental. Adestramento online disponível.,,,2,,,,,serper:adestrador adestramento são caetano são bernardo santo andré ABC site:instagram.com,2026-04-03,,,,,,,,,,,,,,,,,,,
,,O Bicho Esperto - Fernando Adestrador,adestramento,adestramento_petsitter,,ABC Paulista,,,(11) 99198-6215,,@obichoesperto,https://www.obichoesperto.com.br/,,,,mei,,,"Adestrador positivo no ABC + Pet Sitter. 4K+ seguidores, 535 posts. Brincar enquanto treina. Também oferece serviço de pet sitter.",,,3,,obichoesperto.com.br + Instagram,,,serper:adestrador adestramento ABC site:instagram.com,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Vander Adestrador,adestramento,positivo,,ABC Paulista,,,,,@vander_adestrador,,,,,mei,,,Adestrador positivo. 383 seguidores. Ajuda a melhorar convivência com o cão e entender comportamento.,,,1,,Instagram @vander_adestrador,,,serper:adestrador adestramento ABC site:instagram.com,2026-04-03,,,,,,,,,,,,,,,,,,,
,,ABC Dog Adestramento,adestramento,adestramento_hospedagem,,ABC Paulista,,,(11) 97288-0510,abcdogadestramento@gmail.com,@abcdogadestramento,,,,,mei,,,Adestramento e Hospedagem. 12.4K seguidores - perfil grande e estabelecido. Email disponível na bio.,,,3,,,,,serper:adestrador adestramento ABC site:instagram.com,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Guilherme Adestrador - Fidel,adestramento,comportamental,,Santo André,,(11) 98371-1589,(11) 98371-1589,,@adestramentofidel,,,,,mei,,,Guilherme Adestrador. Atende Santo André e São Caetano do Sul. Posts com fotos em ambas cidades.,,,2,,Instagram @adestramentofidel,,,serper:adestrador adestramento santo andré são caetano site:instagram.com,2026-04-03,,,,,,,,,,,,,,,,,,,
,,ABC Campus Dog,creche_pet,creche_educativa,"Rua Constituição, 246",São Caetano do Sul,,,(11) 94503-3784,contato@abccampusdog.com.br,@abccampusdog,https://www.abccampusdog.com.br/,,,,epp,,,Creche educativa + Hotel + Consultoria para creches. PersonAU Pet individualizado. Especialista em comportamento canino. 2.8K seguidores FB. Website completo.,,,4,Cerâmica,serper+fetch:abccampusdog.com.br+instagram.com/abccampusdog,,facebook.com/ABCcampusdog,serper:adestrador adestramento são caetano ABC site:instagram.com + exa:abc campus dog,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Caroline Yamaguti Adestramento,adestramento,comportamentalista,,São Caetano do Sul,,,(11) 93026-8769,,@caroline.adestramento,,,,,mei,,,Comportamentalista animal. Aulas presenciais ou online. 2.3K seguidores. São Caetano do Sul.,,,2,,serper+fetch:instagram.com/caroline.adestramento,,,serper:adestrador adestramento são caetano ABC site:instagram.com,2026-04-03,,,,,,,,,,,,,,,,,,,
,,PRH Adestramento e Cinoterapia,adestramento,cinoterapia,"Av. Peri Ronchetti, 338",São Bernardo do Campo,,,,,@prh_adestramento.cinoterapia,,,,,mei,,,Adestramento + Cinoterapia (terapia assistida por animais). Parceria com estabelecimentos da região. Endereço confirmado em post.,,,2,Nova Petrópolis,,,,serper:adestrador adestramento são bernardo ABC site:instagram.com,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Point dos Pets,creche_pet,creche_hotel,,São Bernardo do Campo,,,(11) 93727-4530,,@pointdospets.sbc,,,,,epp,,,Creche e Hotel para cães. 9.783 seguidores Instagram. Contratando recepcionista (salário R$1700-2000). Empresa estruturada: Point dos Pets Ltda.,,,2,,,,,serper:creche pet hotel pet são bernardo + serper:point dos pets são bernardo,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Creche Pet Life Up,creche_pet,creche_hotel,,São Caetano do Sul,,,,,,,,,,mei,,,"Creche e Hotel para cães. Apaixonados por pets. Carinho, cuidado e atenção. Página recente no Facebook.",,,1,,,,facebook.com/61566002825837,serper:creche pet hotel pet são caetano são bernardo,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Creche e Hotel Pet da Nati,creche_pet,creche_hotel,"Vila Scarpelli, Santo André",Santo André,,,,,@hotelpetdanat,,,,,mei,,,"Bióloga. Creche e hotel para pets + Hospedagem. 2.779 seguidores. Vila Scarpelli, Santo André.",,,2,Vila Scarpelli,Instagram @hotelpetdanat,,,serper:creche pet hotel pet santo andré são caetano,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Focinhos Molhados Creche-Hotel,creche_pet,creche_hotel,,Santo André,,,(11) 99834-5664,,@focinhosmolhadoscrechehotel,,,,,mei,,,Creche-Hotel de Cães e Gatos. Supervisão 24h. Sistema leva e traz. Segundo WhatsApp: (11) 95628-7008.,,,2,,,,,serper:focinhos molhados creche hotel santo andré,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Chanelle Pet Boutique,creche_pet,creche_hotel_estetica,"Rua José Benedetti, 234",São Caetano do Sul,,(11) 2376-2206,(11) 99811-8643,,@chanellepetboutique,,,,,epp,,,CNPJ 24.915.359/0001-57. Creche + Hotel + Banho e Tosa. Fundada 01/06/2016. Endereço confirmado: R José Benedetti 234. Serviço premium.,,,3,Santo Antônio,,,,serper:chanelle pet boutique são caetano santo antônio,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Taxi Dog ABCDM,taxi_dog,transporte_pet,,Santo André,,(11) 98833-1563,(11) 99765-4282,,,,,,,mei,,,"Táxi Dog atendendo ABCDM. Transporte para hospitais, veterinários, passeios. Luiz e Paula. Atende SCS e região.",,,2,,Facebook TAXI DOG ABCDM,,facebook.com/taxidogdotio,serper:táxi dog transporte pet ABC são caetano são bernardo santo andré,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Táxi Dog & Cat São Caetano,taxi_dog,transporte_pet,,São Caetano do Sul,,,,,@faby_caopanhia,,,,,mei,,,Táxi Dog & Cat. 184 curtidas. Transporte de cães E gatos. Fabíola Ferraz. São Caetano do Sul e região.,,,1,,serper:facebook.com/taxidogfabiolaferraz,,facebook.com/taxidogfabiolaferraz,serper:táxi dog transporte pet são caetano são bernardo,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Levo e Espero Pet,taxi_dog,transporte_pet,,Santo André,,,,,@levoesperopet,,,,,mei,,,"Táxi Dog. 308 seguidores. Viagens para pets e tutores. Conforto, segurança e amor. ABC. Preço acessível.",,,1,,Instagram @levoesperopet,,,serper:táxi dog transporte pet ABC santo andré,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Pet Focinhos e Cia,clinica_vet,completa,,São Bernardo do Campo,,,,,,https://petfocinhosecia.com.br/,,,,epp,,,Clínica Veterinária + Vacinas + Day Care + Táxi Dog + Banho e Tosa + Produtos. Website ativo. Bairro Assunção SBC.,,,2,Assunção,,,,serper:táxi dog transporte pet são bernardo,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Gatologa - Tati Cat Sitter,cat_sitter,domicilio,,Santo André,,,,,@tati.catsitter,https://linktr.ee/Tati.catsitter,,,,mei,,,Bióloga + Cat Sitter Certificada. Cuida com amor e ciência no conforto do lar. ABC Paulista/Santo André. Threads ativo. 287 seguidores Threads. FOCO FELINO.,,,2,,,,facebook.com/100089334489917,serper:cat sitter cuidador de gatos ABC são caetano são bernardo santo andré,2026-04-03,,,,,,,,,,,,,,,,,,,
,,L Cat Sitter,cat_sitter,domicilio,,São Bernardo do Campo,,,,dantaselly@outlook.com,@babagatos,,,,,mei,,,"Cat Sitter domiciliar. Atende Rudge Ramos, Vila Caminho do Mar em SBC. Também Santo André e bairros de SP. FOCO FELINO.",,,2,Rudge Ramos,,,,serper:cat sitter cuidador de gatos ABC são bernardo,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Ana Cat Sitter,cat_sitter,domicilio,,São Bernardo do Campo,,,(11) 99309-4228,,,,,,,mei,,,"Atendimento domiciliar em SBC, Santo André e São Caetano. Pet Service. FOCO FELINO.",,,2,,,,facebook.com/anabragapetsitter,serper:cat sitter cuidador de gatos ABC são bernardo,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Crematório Pet São Caetano,cremacao_pet,crematorio,,São Caetano do Sul,,(11) 4318-9949,(11) 98990-2174,,,https://www.crematoriopetsaocaetano.com.br/,,,,epp,,,Cremação Pet em SCS e todo ABC Paulista. Também atende SBC e Diadema. Estacionamento disponível. Website ativo.,,,3,,serper+fetch:crematoriopetsaocaetano.com.br,,,serper:funerária pet cremação animal crematório pet ABC são caetano são bernardo,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Pet Memorial Crematório,cremacao_pet,crematorio,"Estrada Sadae Takagi, 860",São Bernardo do Campo,,,(11) 98364-0000,,@petmemorial,,,,,medio,,,Crematório Pet. 51.4K seguidores Instagram. Grande operação. WhatsApp parcial (visto em stories). Líder de mercado na região ABC.,,,3,,,,,serper:funerária pet cremação animal crematório pet ABC são bernardo,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Matilha do ABC,creche_pet,creche_hospedagem_adestramento,"Av. Estados Unidos, 1101",Santo André,,,(11) 99419-3340,,@matilhadoabc,https://matilhadoabc.my.canva.site,,,,epp,,,+1000 famílias atendidas. Creche + Hospedagem + Escola de Adestramento. Atende dogs especiais. CEP 09210-300. Website Canva ativo.,,,4,Parque das Nações,,,,exa:abc campus dog creche educativa + serper:matilha abc creche hotel santo andré,2026-04-03,,,,,,,,,,,,,,,,,,,
,,Débora Pet Sitter,pet_sitter,domicilio,,ABC Paulista,,,(11) 97297-8819,,@deborampetsitter,,,,,mei,,,Pet Sitter + Dog Walker. Marido é Dog Walker. Serviço a domicílio no ABC Paulista. Babá de pets. Onde o conforto do lar encontra o cuidado.,,,2,,,,,serper:débora pet sitter ABC paulista,2026-04-03,,,,,,,,,,,,,,,,,,,
